ArrayExpress_Sex_s	ArrayExpress_Species_s	ArrayExpress_StrainOrLine_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Strain_s	sample_description_s	strain_s	Assay_Type_s	BioProject_s	Consent_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067725	338	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	4285	2185	Mus musculus	2012-04-15	ERR089756	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX067723	338	Illumina HiSeq 2000	PAIRED	3888061	2014-09-07	4434	2373	Mus musculus castaneus	2012-04-15	ERR089754	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067722	338	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	4481	2328	Mus musculus	2012-04-15	ERR089753	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067721	338	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4847	2483	Mus musculus	2012-04-15	ERR089752	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067720	338	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	4462	2376	Mus musculus musculus	2012-04-15	ERR089751	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067719	338	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	4609	2369	Mus musculus	2012-04-15	ERR089750	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067762	339	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	4443	2320	Mus musculus	2012-04-15	ERR089793	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX067763	339	Illumina HiSeq 2000	PAIRED	3888061	2014-09-07	4393	2361	Mus musculus castaneus	2012-04-15	ERR089794	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067765	339	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	4248	2177	Mus musculus	2012-04-15	ERR089796	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ		200	SAMEA1094237	SC	ERX067766	339	Illumina HiSeq 2000	PAIRED	3888056	2014-10-09	3929	2927	Mus musculus	2012-04-15	ERR089797	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067767	339	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	4555	2311	Mus musculus	2012-04-15	ERR089798	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067768	339	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	4413	2322	Mus musculus musculus	2012-04-15	ERR089799	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067769	339	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4787	2420	Mus musculus	2012-04-15	ERR089800	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067770	339	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	4429	2270	Mus musculus	2012-04-15	ERR089801	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX067771	339	Illumina HiSeq 2000	PAIRED	3888061	2014-09-07	4392	2323	Mus musculus castaneus	2012-04-15	ERR089802	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067773	339	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	4245	2135	Mus musculus	2012-04-15	ERR089804	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX067774	339	Illumina HiSeq 2000	PAIRED	3888056	2014-09-07	3913	1917	Mus musculus	2012-04-15	ERR089805	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067772	339	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	4309	2183	Mus musculus	2012-04-15	ERR089803	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	BALB/cJ	mm9	200	SAMEA1463828	SC	ERX094521	338	Illumina HiSeq 2000	PAIRED	3888090	2014-09-22	5319	3337	Mus musculus	2012-05-18	ERR118247	ERS076386	BALB/cJ	BALB_cJ_-sc-2012-12-20T14:18:47Z-1278948	BALB/cJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067764	339	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	4314	2226	Mus musculus	2012-04-15	ERR089795	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus spretus	SPRET/EiJ	mm9	200	SAMEA1463826	SC	ERX094523	338	Illumina HiSeq 2000	PAIRED	3888092	2014-09-22	6229	4219	Mus spretus	2012-05-18	ERR118249	ERS076388	SPRET/EiJ	SPRET_EiJ-sc-2012-12-20T14:20:35Z-1278950	SPRET/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067724	338	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	4355	2235	Mus musculus	2012-04-15	ERR089755	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	129S1/SvImJ	mm9	200	SAMEA1463822	SC	ERX094525	339	Illumina HiSeq 2000	PAIRED	3888089	2014-09-22	5898	3813	Mus musculus	2012-05-18	ERR118251	ERS076385	129S1/SvImJ	129S1_SvImJ-sc-2012-12-20T14:18:07Z-1278947	129S1/SvImJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	BALB/cJ	mm9	200	SAMEA1463828	SC	ERX094526	339	Illumina HiSeq 2000	PAIRED	3888090	2014-09-22	4724	3054	Mus musculus	2012-05-18	ERR118252	ERS076386	BALB/cJ	BALB_cJ_-sc-2012-12-20T14:18:47Z-1278948	BALB/cJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX067726	338	Illumina HiSeq 2000	PAIRED	3888056	2014-09-07	3964	1970	Mus musculus	2012-04-15	ERR089757	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067761	339	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4800	2471	Mus musculus	2012-04-15	ERR089792	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	NOD/ShiLtJ	mm9	200	SAMEA1463823	SC	ERX094529	339	Illumina HiSeq 2000	PAIRED	3888093	2014-09-22	5315	3449	Mus musculus	2012-05-18	ERR118255	ERS076389	NOD/ShiLtJ	NOD_ShiLtJ-sc-2012-12-20T14:21:12Z-1278951	NOD/ShiLtJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	129S1/SvImJ	mm9	200	SAMEA1463822	SC	ERX094530	339	Illumina HiSeq 2000	PAIRED	3888089	2014-09-22	6551	4199	Mus musculus	2012-05-18	ERR118256	ERS076385	129S1/SvImJ	129S1_SvImJ-sc-2012-12-20T14:18:07Z-1278947	129S1/SvImJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067760	339	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	4429	2369	Mus musculus musculus	2012-04-15	ERR089791	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	NZO/HlLtJ	mm9	200	SAMEA1463827	SC	ERX094532	339	Illumina HiSeq 2000	PAIRED	3888091	2014-09-22	6780	4384	Mus musculus	2012-05-18	ERR118258	ERS076387	NZO/HlLtJ	NZO_HlLtJ-sc-2012-12-20T14:19:28Z-1278949	NZO/HlLtJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus spretus	SPRET/EiJ	mm9	200	SAMEA1463826	SC	ERX094533	339	Illumina HiSeq 2000	PAIRED	3888092	2014-09-22	6147	4234	Mus spretus	2012-05-18	ERR118259	ERS076388	SPRET/EiJ	SPRET_EiJ-sc-2012-12-20T14:20:35Z-1278950	SPRET/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	NOD/ShiLtJ	mm9	200	SAMEA1463823	SC	ERX094534	339	Illumina HiSeq 2000	PAIRED	3888093	2014-09-22	5887	3787	Mus musculus	2012-05-18	ERR118260	ERS076389	NOD/ShiLtJ	NOD_ShiLtJ-sc-2012-12-20T14:21:12Z-1278951	NOD/ShiLtJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	129S1/SvImJ		200	SAMEA1463822	SC	ERX094535	338	Illumina HiSeq 2000	PAIRED	3888089	2014-10-09	6655	5759	Mus musculus	2012-05-18	ERR118261	ERS076385	129S1/SvImJ	129S1_SvImJ-sc-2012-12-20T14:18:07Z-1278947	129S1/SvImJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	BALB/cJ	mm9	200	SAMEA1463828	SC	ERX094536	338	Illumina HiSeq 2000	PAIRED	3888090	2014-09-22	5326	3392	Mus musculus	2012-05-18	ERR118262	ERS076386	BALB/cJ	BALB_cJ_-sc-2012-12-20T14:18:47Z-1278948	BALB/cJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	NZO/HlLtJ	mm9	200	SAMEA1463827	SC	ERX094537	338	Illumina HiSeq 2000	PAIRED	3888091	2014-09-22	6878	4415	Mus musculus	2012-05-18	ERR118263	ERS076387	NZO/HlLtJ	NZO_HlLtJ-sc-2012-12-20T14:19:28Z-1278949	NZO/HlLtJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067759	339	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	4573	2362	Mus musculus	2012-04-15	ERR089790	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067757	339	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	3677	1927	Mus musculus	2012-04-15	ERR089788	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX094540	338	Illumina HiSeq 2000	PAIRED	3888057	2014-09-22	4757	2968	Mus musculus	2012-05-18	ERR118266	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX094541	338	Illumina HiSeq 2000	PAIRED	3888058	2014-09-22	4598	2965	Mus musculus musculus	2012-05-18	ERR118267	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX094542	338	Illumina HiSeq 2000	PAIRED	3888059	2014-09-22	5022	3115	Mus musculus	2012-05-18	ERR118268	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX094543	338	Illumina HiSeq 2000	PAIRED	3888060	2014-09-22	4631	2915	Mus musculus	2012-05-18	ERR118269	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX094544	338	Illumina HiSeq 2000	PAIRED	3888061	2014-09-22	4594	2969	Mus musculus castaneus	2012-05-18	ERR118270	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX094545	338	Illumina HiSeq 2000	PAIRED	3888062	2014-09-22	4516	2814	Mus musculus	2012-05-18	ERR118271	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067756	339	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	3727	1966	Mus musculus	2012-04-15	ERR089787	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX094547	338	Illumina HiSeq 2000	PAIRED	3888056	2014-09-22	4096	2492	Mus musculus	2012-05-18	ERR118273	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX094548	339	Illumina HiSeq 2000	PAIRED	3888057	2014-09-22	4076	2527	Mus musculus	2012-05-18	ERR118274	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
